timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_vel_x,linear_vel_y,angular_vel_z
34.717,0.030943321798599342,0.000746335506350927,0.07499999975627203,-1.3603281025321733e-07,5.979283764042689e-11,0.00014373858869541945,0.9999999896695998,0.001658732272547284,2.3444958184735858e-05,0.00015195518364125366
34.737,0.030951295423769117,0.0007466374472046039,0.07499999772904743,-2.9258127314404032e-08,5.691288060873596e-09,0.00014391078148297265,0.9999999896448429,-1.0586044284687054e-05,5.300278245860128e-05,-1.191939841574129e-05
34.757,0.030977704000267375,0.0007469813717106063,0.07499999974233826,-2.504010553509894e-08,4.748464588057692e-11,0.00014436316471278033,0.9999999895796381,8.914509308343404e-05,5.533457015367909e-05,-0.00013057716461575402
34.777,0.030999347170104403,0.0007475414704774487,0.07499999976367464,-1.2464291971578586e-07,4.763190084311041e-11,0.00014436104620470976,0.9999999895799363,0.0014965048876714807,-3.2075836534205866e-05,0.00027494498442844745
34.797,0.03100661775164702,0.0007480251612938874,0.07499999881654673,-8.233809437504836e-08,5.6233990571541486e-09,0.000144302742704676,0.9999999895883558,0.0005798706890933289,-2.2306723394593864e-06,-0.00022298667549956573
34.817,0.03103078529736926,0.000748339467608757,0.07499999965403198,4.3971211549693276e-08,-2.653293893306508e-10,0.00014443227113892146,0.9999999895696586,2.8971297279639705e-05,1.3718472126006928e-05,-0.00013713628045604605
34.837,0.031054924862189907,0.0007486851718493306,0.07499999967331204,-1.3752738452560036e-07,-1.4303568356550196e-11,0.00014512863705197677,0.99999998946883,0.0012442516206372103,-6.381985349066811e-05,0.00028186963370398183
34.857,0.031064091611389295,0.000749352614288442,0.07499999961372798,-1.0371377881465724e-07,5.682744534778222e-09,0.00014432289454614756,0.9999999895854457,0.001177642135617715,4.8400696289943716e-05,-0.00016702544231800902
34.877,0.031083781591864035,0.0007496950427407261,0.0749999977198378,-3.5136187637812594e-08,5.478068825813998e-09,0.00014460887421698722,0.9999999895441362,-1.6941817967491903e-06,6.032684791647647e-05,-4.287555813051193e-05
34.897,0.031108934061906037,0.0007500282750357433,0.07499999974233848,-1.927555392144243e-08,4.9333137632865806e-11,0.00014524740145200392,0.9999999894515961,0.000499292679939322,2.372969636896482e-05,-0.0001210488925170245
34.918,0.031121905161539863,0.0007507344959822345,0.0750000000677351,-1.2333548504820795e-07,1.862026780160849e-08,0.00014444322545332218,0.9999999895680695,0.001067719018861084,4.556984549250609e-05,1.416628033831869e-05
34.937,0.031136758173743905,0.0007510758135789632,0.0749999998240334,-6.445586976972968e-08,-1.3545002369319062e-10,0.00014480582338235665,0.9999999895156346,-3.1093046781250062e-06,4.753084522662623e-05,-3.09649599785896e-05
