timestamp,sensor_type,min_range,max_range,avg_range
6.878,laser,7.158979415893555,18.799476623535156,9.975969209015824
6.978,laser,7.147172451019287,18.783958435058594,9.973671538229206
7.078,laser,7.142071723937988,18.78851890563965,9.972918186478942
7.177,laser,7.153541088104248,18.784420013427734,9.974995649497927
7.277,laser,7.176299095153809,18.789621353149414,9.974313073485861
7.377,laser,7.161396503448486,18.788105010986328,9.973842322371388
7.477,laser,7.170356273651123,18.784502029418945,9.975862794250022
7.579,laser,7.154635906219482,18.77351188659668,9.973906520668788
7.678,laser,7.1553144454956055,18.798654556274414,9.973520839487323
7.7780000000000005,laser,7.158447265625,18.78803253173828,9.974072780317933
7.878,laser,7.149107933044434,18.801958084106445,9.974834926255786
7.977,laser,7.158655643463135,18.79198455810547,9.974186187482061
8.078,laser,7.1597137451171875,18.787113189697266,9.974835639691534
8.177,laser,7.150321960449219,18.78420066833496,9.973546504974365
8.277,laser,7.155994415283203,18.786619186401367,9.973400247006015
8.378,laser,7.157031536102295,18.782154083251953,9.974433101770533
8.477,laser,7.160653591156006,18.78913688659668,9.97237678702551
8.578,laser,7.147552967071533,18.792360305786133,9.973712477065225
8.678,laser,7.157278060913086,18.788619995117188,9.973379695688495
8.777,laser,7.158112049102783,18.780046463012695,9.973405433975103
8.878,laser,7.146655559539795,18.797039031982422,9.973992598875789
8.977,laser,7.1594953536987305,18.7645263671875,9.973795617809733
9.077,laser,7.151306629180908,18.793907165527344,9.973393385646908
9.178,laser,7.163904190063477,18.79215431213379,9.975070775010204
9.277,laser,7.152397632598877,18.794509887695312,9.973103319415609
9.377,laser,7.166789531707764,18.77381134033203,9.972518997337982
9.478,laser,7.14905309677124,18.77480125427246,9.973179183843481
9.577,laser,7.156120777130127,18.800243377685547,9.973989268295638
9.677,laser,7.152719497680664,18.794330596923828,9.972444468782149
9.778,laser,7.148223876953125,18.787681579589844,9.972875500453338
9.877,laser,7.153538227081299,18.801591873168945,9.974226125324046
9.977,laser,7.147155284881592,18.78550148010254,9.972870812161279
10.077,laser,7.1572585105896,18.786209106445312,9.97281118931661
10.177,laser,7.151962757110596,18.782079696655273,9.970898307916773
10.277,laser,7.144631862640381,18.778182983398438,9.971475914234423
10.377,laser,7.161343097686768,18.791011810302734,9.971771677031771
10.477,laser,7.14580774307251,18.779102325439453,9.973537299469227
10.577,laser,7.156094551086426,18.791610717773438,9.973353163886616
10.678,laser,7.154795169830322,18.77320671081543,9.97372656742125
10.777,laser,7.157609939575195,18.789142608642578,9.97201199203957
10.877,laser,7.166480541229248,18.766944885253906,9.972265727647388
10.978,laser,7.15575647354126,18.78851318359375,9.977272687536297
11.077,laser,7.152171611785889,18.76763153076172,9.97741572784655
11.177,laser,7.145047187805176,18.783349990844727,9.97961884917635
11.278,laser,7.143166542053223,18.766006469726562,9.978334762833335
11.377,laser,7.156235218048096,18.793546676635742,9.978489164150123
11.477,laser,7.154477119445801,18.773494720458984,9.979321234153979
11.578,laser,7.156920909881592,18.779823303222656,9.977930585543314
11.678,laser,7.144946098327637,18.76664924621582,9.977525226997606
11.777,laser,7.147494792938232,18.78333282470703,9.977501464612557
11.877,laser,7.148894786834717,18.78911781311035,9.977763053142663
11.978,laser,7.150664329528809,18.7655086517334,9.97819889314247
12.081,laser,7.160684108734131,18.76689338684082,9.978605389595032
12.177,laser,7.141790866851807,18.778823852539062,9.97723284995917
12.289,laser,7.154338836669922,18.804195404052734,9.97590740521749
12.377,laser,7.155080318450928,18.769794464111328,9.977652430534363
12.473,laser,7.14990758895874,18.764503479003906,9.976211085464016
12.577,laser,7.1474385261535645,18.76581382751465,9.978192575050123
12.677,laser,7.149294376373291,18.77984046936035,9.978831392346006
12.778,laser,7.160274505615234,18.781330108642578,9.98064465233774
12.877,laser,7.156833171844482,18.785816192626953,9.977716514558503
12.978,laser,7.153810024261475,18.783357620239258,9.978603344975095
13.077,laser,7.154061794281006,18.783838272094727,9.977200269699097
13.179,laser,7.151437759399414,18.793729782104492,9.978132847583655
13.277,laser,7.1499505043029785,18.779523849487305,9.978114012515906
13.377,laser,7.148067474365234,18.782352447509766,9.97639789725795
13.477,laser,7.158593654632568,18.799766540527344,9.976723931052469
13.577,laser,7.144435405731201,18.789234161376953,9.976921283837521
13.678,laser,7.145880222320557,18.769752502441406,9.977498506054733
13.779,laser,7.165255069732666,18.764976501464844,9.977824767430624
13.878,laser,7.157616138458252,18.777036666870117,9.976887619856631
13.978,laser,7.15350866317749,18.785600662231445,9.977317589702029
14.077,laser,7.146649360656738,18.772930145263672,9.976579799796596
14.177,laser,7.147343635559082,18.77733039855957,9.977384462501064
14.277,laser,7.157409191131592,18.780263900756836,9.975516698577188
14.377,laser,7.159624099731445,18.774368286132812,9.97599928668051
14.478,laser,7.148580551147461,18.782297134399414,9.977869268619653
14.577,laser,7.1484375,18.778648376464844,9.979186216990152
14.677,laser,7.1537299156188965,18.78340721130371,9.977694431940714
14.777,laser,7.158280849456787,18.764204025268555,9.977456797253001
14.877,laser,7.152973175048828,18.77049446105957,9.97558848063151
14.978,laser,7.1508283615112305,18.77578353881836,9.978079510457588
15.077,laser,7.144896507263184,18.76902961730957,9.977510726813113
15.181,laser,7.147479057312012,18.79677391052246,9.977459506555038
15.277,laser,7.161584854125977,18.77225685119629,9.977339701219039
15.378,laser,7.160345077514648,18.767309188842773,9.975861011129437
15.478,laser,7.14586067199707,18.77263641357422,9.976258902838737
15.578,laser,7.14825963973999,18.75403594970703,9.974220438437028
15.677,laser,7.152364253997803,18.752918243408203,9.976788748394359
15.777,laser,7.163198947906494,18.77085304260254,9.978460315502051
15.877,laser,7.148238182067871,18.77922821044922,9.975873896569917
15.977,laser,7.159328937530518,18.78339958190918,9.976652683633747
16.077,laser,7.147509574890137,18.77390480041504,9.976198051915024
16.177,laser,7.145100116729736,18.769716262817383,9.97497368220127
16.277,laser,7.156157970428467,18.772281646728516,9.97561180230343
16.377,laser,7.1526780128479,18.759763717651367,9.976767218474185
16.477,laser,7.154392242431641,18.800098419189453,9.977100357864842
16.579,laser,7.152905464172363,18.755495071411133,9.974406202634176
16.677,laser,7.152816295623779,18.76860237121582,9.976210182363337
16.777,laser,7.151263236999512,18.7723388671875,9.976286458246635
16.877,laser,7.154930591583252,18.778932571411133,9.975595080491269
16.977,laser,7.138402938842773,18.784393310546875,9.976387211770723
17.077,laser,7.151689052581787,18.776832580566406,9.975302977995439
17.178,laser,7.151620388031006,18.771764755249023,9.97684264905525
17.277,laser,7.149223327636719,18.785863876342773,9.97475191679868
17.377,laser,7.146883487701416,18.78264808654785,9.975367603879986
17.478,laser,7.148351192474365,18.765613555908203,9.975572134509232
17.576999999999998,laser,7.146015167236328,18.761568069458008,9.974594047575286
17.677,laser,7.143138408660889,18.778392791748047,9.97438305796999
17.777,laser,7.152839183807373,18.77393341064453,9.974612824844591
17.878,laser,7.144220352172852,18.772926330566406,9.975715051997792
17.978,laser,7.149720668792725,18.786705017089844,9.975299174135381
18.077,laser,7.158368110656738,18.786733627319336,9.976280031782208
18.177,laser,7.13344669342041,18.763185501098633,9.973888184085038
18.277,laser,7.155311107635498,18.752239227294922,9.97662565202424
18.377,laser,7.149971961975098,18.762908935546875,9.97418986306046
18.477,laser,7.162787914276123,18.78060531616211,9.975806998484062
18.578,laser,7.139977931976318,18.767797470092773,9.97485573725267
18.677,laser,7.146024703979492,18.778549194335938,9.97472528255347
18.778,laser,7.146339416503906,18.767690658569336,9.974648822437633
18.877,laser,7.142014503479004,18.76599884033203,9.976749962026423
18.977,laser,7.153134346008301,18.76677131652832,9.975222396128105
19.078,laser,7.157054424285889,18.756837844848633,9.974546894882664
19.177,laser,7.14563512802124,18.775665283203125,9.97319290854714
19.277,laser,7.15258264541626,18.776588439941406,9.976495428518815
19.377,laser,7.151221752166748,18.750947952270508,9.973976023269422
19.477,laser,7.146322727203369,18.74431610107422,9.974943724545566
19.576999999999998,laser,7.14652156829834,18.760522842407227,9.974457440954266
19.677,laser,7.162467956542969,18.764909744262695,9.973819010185473
19.777,laser,7.1515913009643555,18.76949691772461,9.975509849461643
19.878,laser,7.154210090637207,18.75517463684082,9.974696119626364
19.978,laser,7.154518127441406,18.7745418548584,9.974683660449404
20.078,laser,7.151864528656006,18.77412986755371,9.974661444172714
20.177,laser,7.142373561859131,18.752826690673828,9.973583929466479
20.277,laser,7.151108741760254,18.778114318847656,9.976021878647082
20.377,laser,7.147052764892578,18.745399475097656,9.974154298955744
20.477,laser,7.147631645202637,18.751358032226562,9.973796512141373
20.578,laser,7.143554210662842,18.74822425842285,9.973826708215656
20.677,laser,7.13265323638916,18.77814292907715,9.972534129113862
20.778,laser,7.152194499969482,18.79360008239746,9.973870212381536
20.877,laser,7.154439449310303,18.771610260009766,9.975266752821026
20.977,laser,7.137566089630127,18.777141571044922,9.97381097981424
21.077,laser,7.1473708152771,18.775672912597656,9.972114317344897
21.177,laser,7.1529412269592285,18.784847259521484,9.973045287710248
21.277,laser,7.148026943206787,18.7662296295166,9.972061384807933
21.377,laser,7.14053201675415,18.749300003051758,9.974724556460526
21.477,laser,7.137031078338623,18.764537811279297,9.973121043407556
21.576999999999998,laser,7.141791820526123,18.76224136352539,9.974000258879228
21.677,laser,7.154292106628418,18.751239776611328,9.97246920339989
21.777,laser,7.138119697570801,18.764019012451172,9.973768378749039
21.877,laser,7.1420159339904785,18.761377334594727,9.973529230464589
21.977,laser,7.142740726470947,18.76992416381836,9.972873676906932
22.077,laser,7.143418312072754,18.77700424194336,9.973417177344814
22.177,laser,7.151437759399414,18.750280380249023,9.972932201443296
22.277,laser,7.138936996459961,18.748287200927734,9.974638931679003
22.378,laser,7.157010555267334,18.749177932739258,9.972962719021421
22.477,laser,7.163686275482178,18.761289596557617,9.974649747212728
22.576999999999998,laser,7.149213790893555,18.760154724121094,9.973482655756401
22.677,laser,7.14368200302124,18.75737190246582,9.973127925034726
22.777,laser,7.130532741546631,18.766170501708984,9.971896521972887
22.877,laser,7.138862133026123,18.754179000854492,9.972663684324784
22.977,laser,7.129279136657715,18.76913833618164,9.97252844319199
23.077,laser,7.1465959548950195,18.76500701904297,9.972606048439488
23.177,laser,7.150410175323486,18.76548194885254,9.972735206286112
23.278,laser,7.143671989440918,18.7592716217041,9.973455309867859
23.377,laser,7.140289306640625,18.753934860229492,9.971867030317133
23.477,laser,7.138171195983887,18.764263153076172,9.973762862610094
23.576999999999998,laser,7.139763832092285,18.759449005126953,9.972603996594747
23.677,laser,7.1498637199401855,18.760313034057617,9.973099213657957
23.777,laser,7.15216064453125,18.76421546936035,9.972509167411111
23.877,laser,7.1500091552734375,18.751033782958984,9.972093126990579
23.977,laser,7.142119884490967,18.764734268188477,9.972659186883407
24.077,laser,7.14433479309082,18.76450538635254,9.971932913317826
24.177,laser,7.135330677032471,18.760244369506836,9.973650285691926
24.278,laser,7.138762950897217,18.747852325439453,9.9721259023204
24.377,laser,7.149264812469482,18.743776321411133,9.971523490819065
24.477,laser,7.1526384353637695,18.752185821533203,9.972923809831792
24.576999999999998,laser,7.149211883544922,18.756168365478516,9.95597082869451
